0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1
101	0
102	0
103	0
104	0
105	1
106	1
107	1
108	6
109	1
110	3
111	5
112	3
113	5
114	8
115	10
116	4
117	11
118	12
119	14
120	15
121	12
122	21
123	17
124	31
125	33
126	26
127	48
128	38
129	49
130	60
131	64
132	42
133	52
134	62
135	76
136	69
137	50
138	56
139	38
140	42
141	24
142	8
143	10
144	1
145	2
146	3
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	1
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	1
188	0
189	0
190	1
191	0
192	0
193	2
194	1
195	1
196	1
197	0
198	0
199	3
200	0
201	0
202	1
203	0
204	2
205	7
206	2
207	0
208	3
209	1
210	1
211	2
212	4
213	4
214	1
215	3
216	0
217	0
218	4
219	2
220	4
221	5
222	7
223	6
224	5
225	1
226	3
227	3
228	5
229	3
230	8
231	3
232	4
233	3
234	6
235	7
236	4
237	9
238	6
239	4
240	5
241	7
242	11
243	15
244	10
245	16
246	13
247	13
248	7
249	11
250	10
251	20
252	18
253	18
254	19
255	13
256	16
257	16
258	17
259	31
260	28
261	34
262	30
263	33
264	24
265	43
266	32
267	46
268	56
269	49
270	33
271	25
272	22
273	25
274	26
275	21
276	20
277	5
278	8
279	6
280	4
281	0
282	1
283	0
284	2
285	1
286	0
287	1
288	3
289	2
290	4
291	4
292	1
293	1
294	3
295	1
296	1
297	1
298	1
299	1
300	3
301	1
302	2
303	3
304	2
305	1
306	4
307	2
308	3
309	0
310	3
311	0
312	3
313	3
314	6
315	3
316	3
317	3
318	3
319	1
320	8
321	4
322	3
323	2
324	2
325	1
326	2
327	2
328	4
329	3
330	11
331	1
332	3
333	1
334	4
335	3
336	6
337	4
338	2
339	4
340	6
341	7
342	6
343	6
344	4
345	8
346	4
347	4
348	7
349	3
350	4
351	6
352	6
353	11
354	7
355	8
356	9
357	10
358	9
359	10
360	8
361	12
362	6
363	11
364	10
365	8
366	15
367	7
368	14
369	17
370	8
371	12
372	11
373	15
374	21
375	17
376	8
377	19
378	10
379	21
380	11
381	15
382	17
383	16
384	29
385	24
386	22
387	30
388	23
389	34
390	29
391	33
392	24
393	29
394	14
395	36
396	21
397	22
398	17
399	8
400	13
401	5
402	11
403	10
404	5
405	2
406	4
407	5
408	6
409	8
410	3
411	8
412	5
413	10
414	8
415	2
416	4
417	4
418	5
419	6
420	2
421	3
422	7
423	3
424	3
425	4
426	1
427	1
428	3
429	3
430	7
431	0
432	0
433	3
434	4
435	11
436	2
437	2
438	7
439	2
440	4
441	6
442	3
443	2
444	3
445	7
446	7
447	7
448	2
449	2
450	1
451	6
452	2
453	3
454	2
455	8
456	9
457	6
458	8
459	9
460	5
461	10
462	6
463	11
464	6
465	11
466	4
467	6
468	5
469	5
470	5
471	9
472	22
473	7
474	6
475	13
476	10
477	12
478	8
479	6
480	8
481	11
482	5
483	9
484	9
485	3
486	4
487	17
488	20
489	7
490	11
491	15
492	17
493	19
494	18
495	10
496	15
497	17
498	11
499	14
500	13
501	15
502	13
503	23
504	29
505	17
506	16
507	21
508	24
509	22
510	25
511	24
512	16
513	34
514	15
515	18
516	13
517	9
518	11
519	11
520	16
521	13
522	11
523	7
524	8
525	6
526	9
527	13
528	5
529	10
530	5
531	8
532	7
533	3
